"text","createdAt","retweetCount","viewCount"
"🚨URGENTE - Milei oficializa plano de privatizar a YPF, a “Petrobras argentina”, os Correios e mais 39 estatais

No total, 41 estatais foram listadas para  possível privatização https://t.co/FKCdjeCC0L","Thu Dec 28 16:42:20 +0000 2023","340","15635"
"""O mercado não vai gostar da medida adotada pela Petrobrás"".

As ações da Petrobrás agora: https://t.co/AmHchs8CZ4","Tue May 16 14:28:22 +0000 2023","2263","1709586"
"Jean Paul Prates tá se saindo melhor que a encomenda.
Estou hiper convencido que Lula foi cirúrgico ao colocá-lo na presidência da Petrobras.
Aqui ele responde a jornalista e a deixa desconcertada.
 https://t.co/sLglh7PCnd","Sun Dec 31 10:28:45 +0000 2023","889","101678"
"Pós eleições a Petrobras #PETR4 fez um padrão gráfico chamado de Faz o L. 
-31,66%. https://t.co/Gmb05eX8Ir","Thu Nov 10 15:44:22 +0000 2022","2010",
"Distribuição de dividendos não é sangria.

Eu como brasileiro prefiro que a a Petrobras pague dividendos para que o Estado utilize esses recursos para fazer políticas públicas, inclusive bancar os 600 reais aos mais necessitados. 

Melhor que comprar Refinaria superfaturada. https://t.co/4fBrOKHIIq","Thu Nov 03 12:55:50 +0000 2022","643",
"DEDO DE QUEM? Daquele que você deve estar imaginando...

Eu amo o povo Baiano. 
Fiquei sabendo que a Refinaria Mataripe, antiga refinaria Landulpho Alves, não irá baixar os preços dos combustíveis como a Petrobras 

Essa refinaria tem o monopólio de combustível no Estado e isso vai dificultar que o povo baiano tenha os benefícios que o povo brasileiro vai ter com a redução dos preços dos combustíveis

Adivinhem o que eu descobri? 
O governo BOLSONARO privatizou a Rlam em março do ano passado para o grupo Mubadala Capital, fundos dos Emirados Árabes Unidos, por US$ 1,65 bilhão. 
De acordo com o Instituto de Estudos Estratégicos de Petróleo, Gás Natural e Biocombustíveis (Ineep), a refinaria foi vendida por um preço 55% ABAIXO DO PREÇO DO MERCADO 

Mais um feito que devemos ao Jair. Por isso que ele foi ""tão bem votado"" na Bahia....","Wed May 17 21:06:43 +0000 2023","1597","759182"
"☀️
É com muita alegria que informo que foi iniciada, nessa manhã, a perfuração do poço 3-RNS-160 (*denominação corrigida), Pitu Oeste, na Bacia Potiguar, Margem Equatorial Brasil. 
Broca no fundo! Dedos cruzados! 
O futuro já começou! 
A PETROBRAS VOLTOU
🙏🏽🤞🤜🏽🤛🏽

MAIS INFO: 
A lâmina d’água é de 1180 metros e a profundidade total esperada é de 4230m.

Temos a expectativa de atingirmos o reservatório até o final de janeiro.

O outro poço programado é o Anhanguá que fica a aproximadamente 80 km da costa e o início dependerá da duração de Pitu Oeste. Utilizaremos a mesma sonda.

Seguem imagens aceleradas do início da perfuração de Pitu Oeste, hoje pela manhã. 

PS: *Obrigado, atento @luisf_petrofla!","Sat Dec 23 14:06:54 +0000 2023","247","39775"
"Bolsonaro falando da corrupção na Petrobras. A cara do Lula: https://t.co/jGfFcbq85R","Mon Aug 29 00:18:59 +0000 2022","1557",
"Surreal o que aconteceu na Petrobras.

- 27/04: Petrobras nomeia 6 conselheiros, sendo que 3 não poderiam ser indicados, segundo estatuto deles.

- 16/10: Entramos com uma ação pedindo afastamento desses 3 conselheiros por ferir o Próprio Estatuto DELES. https://t.co/FPDfYh3tYC","Fri Dec 01 13:18:33 +0000 2023","68","85394"
"""Se mudar a política de preços, a Petrobrás vai falir"". 

A Petrobrás:","Tue Dec 26 00:46:51 +0000 2023","558","97358"
"Hoje foi um dia de 11 VITÓRIAS consecutivas do governo @LulaOficial 

1. Mudança na Petrobras 
2. Caiu preço da gasolina
3. Caiu preço do diesel
4. Caiu preso do gás de cozinha 
5. Bolsonaro depondo há horas
6. Entrevista vexatória do Valdemar da Costa Neto
7. Deltan sendo julgado pelo TSE
8. Maioria esmagadora de aprovação de governo
9. Maioria esmagadora de aprovação pessoal do presidente 10. Ações da Petrobras SUBIRAM
11. Medidas beneficiando a classe média","Tue May 16 20:03:37 +0000 2023","4675","1297796"
"Mudando um pouco de assunto… que “despiora” da Petrobras, não?! https://t.co/ogNJknOY6z","Thu Feb 24 20:20:03 +0000 2022","4008",
"Petrobras 2016
Valor de mercado: R$ 68 bi

Petrobras 2022
Valor de mercado: R$ 520 bi
Dividendos: R$ 136 bi","Mon Oct 24 13:00:59 +0000 2022","5075",
"📚 CONCURSO DA PETROBRAS

A Petrobras divulgou hoje (26.12), edital de processo seletivo para diversas áreas de nível técnico, com 916 vagas (20% para PCD e 20% para negros) e remuneração mínima de R$ 5.878,82. 
As vagas são para os estados de São Paulo, Minas Gerais, Rio de Janeiro, Espirito Santo, Paraná, Rio Grande do Sul e Pernambuco.","Tue Dec 26 13:04:21 +0000 2023","87","62930"
